GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,,,,,
3141,1840.99,4279.88,5017.17,485.49,278.47,-115.79,-3835.91,-29013.87,1638.15,17196.9,-5490.1,166.86,-2228.53,-5323.24,-7551.77,,,,,,,,,
3151,1877.72,4251.67,4979.7,481.68,271.93,-138.17,-3858.69,-28855.29,1613.44,17093.1,-5567.12,168.78,-2282.92,-5398.34,-7681.26,,,,,,,,,
3161,1787.6,4266.16,4969.72,467.25,287.31,-135.96,-3861.06,-28887.76,1655.21,17105.08,-5566.39,169.63,-2346.44,-5396.76,-7743.2,,,,,,,,,
3171,1869.45,4317.17,4964.8,477.52,265.44,-111.22,-3836.5,-29037.79,1617.28,17017.27,-5408.28,171.26,-2456.57,-5237.03,-7693.59,,,,,,,,,
3181,1804.82,4255.16,4957.72,477.63,266.3,-119.83,-3864.7,-29140.05,1630.93,17212.63,-5409.68,169.16,-2519.4,-5240.52,-7759.92,,,,,,,,,
3191,1826.64,4266.65,4969.14,469.89,267.31,-114.6,-3875.09,-29055.02,1636.72,17170.3,-5475.41,168.39,-2438.05,-5307.02,-7745.07,,,,,,,,,
3201,1957.47,4316.27,4925.74,473.35,295.61,-119.8,-3900.34,-28887.27,1550.88,17165.53,-5577.78,168.03,-2222.58,-5409.76,-7632.34,,,,,,,,,
3211,1882.67,4260.51,4979.13,483.5,271.64,-122.51,-3861.33,-28940.01,1620.14,17128.44,-5565.85,166.18,-2297.8,-5399.67,-7697.47,,,,,,,,,
3221,1834.53,4141.64,4993.31,473.21,285.46,-132.71,-3800.97,-28956.35,1641.52,17136.95,-5588.83,170.72,-2383.41,-5418.11,-7801.51,,,,,,,,,
3231,1843.86,4207.36,4961.48,477.42,280.01,-136.8,-3837.35,-28829.06,1603.54,17067.96,-5588.95,167.16,-2361.58,-5421.79,-7783.37,,,,,,,,,
3241,1843.52,4302.75,4971.29,469.88,283.22,-153.35,-3901.83,-28809.66,1635.33,17015.98,-5576.39,168.53,-2342.87,-5407.86,-7750.72,,,,,,,,,
3251,1852.27,4390.3,4953.31,485.19,273.14,-122.72,-3847.32,-28855.43,1610.81,17047.05,-5609.55,173.32,-2213.4,-5436.23,-7649.62,,,,,,,,,
